Machine,Start,End,Length,Jobs on Machine
M1,2,15,13,"A, B, C"
M2,18,154,136,D
M3,158,257,99,E
M4,259,262,3,"F, G"
M5,273,277,4,H
M6,280,333,53,I
M7,369,426,57,"J, K"
M8,427,437,10,"L, M, N"
M9,433,538,105,"O, P, Q"
M10,547,548,1,R
M11,549,582,33,"S, T"
M12,582,587,5,"U, V, W"
M13,584,646,62,"X, Y"
M14,666,674,8,"Z, AA, AB"
M15,689,793,104,"AC, AD, AE"
M16,798,815,17,"AF, AG"
M17,807,839,32,"AH, AI"
M18,842,853,11,"AJ, AK"
M19,854,904,50,"AL, AM"
M20,908,919,11,AN
M21,949,957,8,"AO, AP, AQ"
M22,958,959,1,AR
M23,959,966,7,"AS, AT"
M24,969,1064,95,AU
M25,1067,1073,6,"AV, AW, AX"
M26,1075,1192,117,AY
M27,1197,1207,10,AZ
M28,1220,1227,7,"BA, BB, BC"
M29,1224,1255,31,BD
M30,1268,1314,46,"BE, BF, BG"
M31,1319,1386,67,BH
M32,1388,1441,53,"BI, BJ, BK"
M33,1430,1434,4,"BL, BM, BN"
M34,1437,1446,9,"BO, BP, BQ"
M35,1463,1476,13,"BR, BS"
M36,1480,1561,81,"BT, BU, BV"
M37,1559,1563,4,"BW, BX, BY"
M38,1564,1582,18,"BZ, CA, CB"
M39,1582,1716,134,"CC, CD"
M40,1719,1791,72,CE
M41,1790,1923,133,"CF, CG, CH"
M42,1953,2063,110,"CI, CJ, CK"
M43,2066,2106,40,"CL, CM"
M44,2108,2113,5,CN
M45,2120,2128,8,"CO, CP"
M46,2133,2175,42,"CQ, CR, CS"
M47,2180,2234,54,"CT, CU, CV"
M48,2236,2254,18,"CW, CX"
M49,2285,2298,13,"CY, CZ"
M50,2301,2304,3,DA
M51,2309,2326,17,"DB, DC, DD"
M52,2328,2339,11,DE
M53,2338,2457,119,"DF, DG, DH"
M54,2458,2461,3,"DI, DJ"
M55,2474,2547,73,DK
M56,2560,2593,33,DL
M57,2584,2592,8,DM
M58,2594,2620,26,"DN, DO"
M59,2622,2624,2,"DP, DQ, DR"
M60,2637,2674,37,DS
M61,2657,2669,12,"DT, DU, DV"
M62,2672,2689,17,"DW, DX"
M63,2729,2737,8,"DY, DZ, EA"
M64,2741,2767,26,"EB, EC, ED"
M65,2771,2849,78,"EE, EF, EG"
M66,2852,2900,48,"EH, EI"
M67,2904,2994,90,"EJ, EK, EL"
M68,2995,3020,25,"EM, EN, EO"
M69,3020,3062,42,"EP, EQ, ER"
M70,3075,3171,96,"ES, ET, EU"
M71,3172,3173,1,"EV, EW"
M72,3178,3273,95,"EX, EY, EZ"
M73,3270,3284,14,"FA, FB, FC"
M74,3284,3291,7,"FD, FE"
M75,3305,3313,8,"FF, FG, FH"
M76,3315,3355,40,FI
M77,3367,3383,16,"FJ, FK"
M78,3384,3385,1,"FL, FM, FN"
M79,3388,3488,100,"FO, FP"
M80,3499,3596,97,"FQ, FR"
M81,3592,3601,9,"FS, FT, FU"
M82,3603,3626,23,"FV, FW"
M83,3630,3679,49,"FX, FY"
M84,3706,3760,54,"FZ, GA, GB"
M85,3767,3785,18,"GC, GD"
M86,3785,3811,26,"GE, GF, GG"
M87,3815,3827,12,"GH, GI, GJ"
M88,3830,3841,11,"GK, GL, GM"
M89,3840,3914,74,GN
M90,3929,3947,18,GO
M91,3980,3993,13,"GP, GQ, GR"
