Busy Time
Capacity
6
Job,Release,Deadline,processingTime
A,5,97,89
B,6,95,89
C,1,109,89
D,1,98,89
E,5,147,89
F,5,120,89
G,67,147,10
H,72,154,10
I,95,112,10
J,97,112,10
K,92,121,10
L,79,113,10
M,109,146,10
N,102,153,10
O,51,205,10
P,80,298,123
Q,244,259,8
R,247,259,8
S,234,259,8
T,242,259,8
U,244,275,8
V,242,313,8
W,207,423,47
X,212,417,47
Y,255,304,47
Z,323,328,3
AA,303,330,3
AB,320,331,3
AC,327,429,54
AD,321,419,54
AE,296,462,54
AF,309,513,52
AG,362,421,52
AH,364,417,52
AI,356,422,52
AJ,343,420,52
AK,364,434,52
AL,413,473,1
AM,369,501,1
AN,380,541,1
AO,426,486,59
AP,426,487,59
AQ,403,500,59
AR,419,494,59
AS,423,505,59
AT,420,522,59
AU,452,619,105
AV,428,619,105
AW,486,597,105
AX,489,597,105
AY,575,615,26
AZ,575,625,26
BA,579,636,26
BB,577,671,26
BC,567,649,26
BD,620,728,47
BE,694,725,26
BF,726,744,12
BG,711,746,12
BH,724,745,12
BI,721,792,12
BJ,737,808,25
BK,701,841,25
BL,721,855,25
BM,734,766,25
BN,736,766,25
BO,744,773,2
BP,745,772,2
BQ,765,824,4
BR,767,836,4
BS,741,977,140
BT,732,1047,140
BU,785,932,140
BV,786,932,140
BW,774,932,140
BX,932,966,16
BY,944,1017,16
BZ,936,979,16
CA,951,1102,33
CB,887,1017,33
CC,962,1000,33
CD,962,997,33
CE,948,1002,33
CF,983,1027,20
CG,994,1049,20
CH,992,1050,20
CI,944,1077,14
CJ,993,1056,14
CK,1016,1036,14
CL,1015,1035,14
CM,1031,1157,114
CN,1032,1156,114
CO,1027,1164,114
CP,1028,1203,114
CQ,991,1214,114
CR,966,1235,114
CS,1148,1193,40
CT,1148,1196,40
CU,1133,1198,40
CV,1148,1198,40
CW,1151,1239,40
CX,1184,1216,4
CY,1126,1278,4
CZ,1167,1248,4
DA,1194,1202,4
DB,1194,1198,4
DC,1182,1202,4
DD,1225,1244,2
DE,1222,1253,2
DF,1219,1262,2
DG,1162,1272,6
DH,1196,1333,6
DI,1242,1268,18
DJ,1243,1268,18
DK,1242,1269,18
DL,1231,1269,18
DM,1261,1284,4
DN,1257,1300,4
DO,1249,1351,4
DP,1247,1328,4
DQ,1264,1277,9
DR,1267,1281,9
DS,1253,1285,9
DT,1247,1281,9
DU,1264,1307,9
DV,1258,1307,9
DW,1235,1379,1
DX,1204,1325,1
DY,1272,1278,1
DZ,1272,1275,1
EA,1254,1281,1
EB,1261,1278,1
EC,1268,1391,95
ED,1268,1429,95
EE,1201,1404,95
EF,1345,1523,35
EG,1405,1444,35
EH,1405,1441,35
EI,1384,1455,35
EJ,1382,1451,35
EK,1401,1467,35
EL,1436,1510,19
EM,1426,1573,75
EN,1388,1561,75
EO,1461,1538,75
EP,1541,1575,31
EQ,1537,1586,31
ER,1529,1581,31
ES,1564,1639,19
ET,1568,1639,19
EU,1535,1703,19
EV,1520,1626,19
EW,1569,1592,19
EX,1571,1596,19
EY,1596,1615,5
EZ,1592,1609,5
FA,1598,1762,97
FB,1719,1759,1
FC,1709,1744,1
FD,1706,1841,1
FE,1717,1724,1
FF,1724,1731,2
FG,1716,1747,10
FH,1721,1748,10
FI,1738,1794,9
FJ,1741,1773,9
FK,1695,1848,9
FL,1700,1872,9
FM,1744,1760,9
FN,1759,1774,13
FO,1749,1784,13
FP,1770,1787,11
FQ,1770,1829,11
FR,1770,1810,11
FS,1746,1838,22
FT,1752,1846,22
FU,1827,1834,6
FV,1826,1836,6
FW,1807,1836,6
FX,1813,1844,6
