Busy Time
Capacity
2
Job,Release,Deadline,processingTime
J1,1,1002,1
J2,2,1003,1
J3,3,1004,1
J4,4,1005,1
J5,5,1006,1
J6,6,1007,1
J7,7,1008,1
J8,8,1009,1
J9,9,1010,1
J10,10,1011,1
J11,11,1012,1
J12,12,1013,1
J13,13,1014,1
J14,14,1015,1
J15,15,1016,1
J16,16,1017,1
J17,17,1018,1
J18,18,1019,1
J19,19,1020,1
J20,20,1021,1
J21,21,1022,1
J22,22,1023,1
J23,23,1024,1
J24,24,1025,1
J25,25,1026,1
J26,26,1027,1
J27,27,1028,1
J28,28,1029,1
J29,29,1030,1
J30,30,1031,1
J31,31,1032,1
J32,32,1033,1
J33,33,1034,1
J34,34,1035,1
J35,35,1036,1
J36,36,1037,1
J37,37,1038,1
J38,38,1039,1
J39,39,1040,1
J40,40,1041,1
J41,41,1042,1
J42,42,1043,1
J43,43,1044,1
J44,44,1045,1
J45,45,1046,1
J46,46,1047,1
J47,47,1048,1
J48,48,1049,1
J49,49,1050,1
J50,50,1051,1
J51,51,1052,1
J52,52,1053,1
J53,53,1054,1
J54,54,1055,1
J55,55,1056,1
J56,56,1057,1
J57,57,1058,1
J58,58,1059,1
J59,59,1060,1
J60,60,1061,1
J61,61,1062,1
J62,62,1063,1
J63,63,1064,1
J64,64,1065,1
J65,65,1066,1
J66,66,1067,1
J67,67,1068,1
J68,68,1069,1
J69,69,1070,1
J70,70,1071,1
J71,71,1072,1
J72,72,1073,1
J73,73,1074,1
J74,74,1075,1
J75,75,1076,1
J76,76,1077,1
J77,77,1078,1
J78,78,1079,1
J79,79,1080,1
J80,80,1081,1
J81,81,1082,1
J82,82,1083,1
J83,83,1084,1
J84,84,1085,1
J85,85,1086,1
J86,86,1087,1
J87,87,1088,1
J88,88,1089,1
J89,89,1090,1
J90,90,1091,1
J91,91,1092,1
J92,92,1093,1
J93,93,1094,1
J94,94,1095,1
J95,95,1096,1
J96,96,1097,1
J97,97,1098,1
J98,98,1099,1
J99,99,1100,1
J100,100,1101,1
J101,101,1102,1
J102,102,1103,1
J103,103,1104,1
J104,104,1105,1
J105,105,1106,1
J106,106,1107,1
J107,107,1108,1
J108,108,1109,1
J109,109,1110,1
J110,110,1111,1
J111,111,1112,1
J112,112,1113,1
J113,113,1114,1
J114,114,1115,1
J115,115,1116,1
J116,116,1117,1
J117,117,1118,1
J118,118,1119,1
J119,119,1120,1
J120,120,1121,1
J121,121,1122,1
J122,122,1123,1
J123,123,1124,1
J124,124,1125,1
J125,125,1126,1
J126,126,1127,1
J127,127,1128,1
J128,128,1129,1
J129,129,1130,1
J130,130,1131,1
J131,131,1132,1
J132,132,1133,1
J133,133,1134,1
J134,134,1135,1
J135,135,1136,1
J136,136,1137,1
J137,137,1138,1
J138,138,1139,1
J139,139,1140,1
J140,140,1141,1
J141,141,1142,1
J142,142,1143,1
J143,143,1144,1
J144,144,1145,1
J145,145,1146,1
J146,146,1147,1
J147,147,1148,1
J148,148,1149,1
J149,149,1150,1
J150,150,1151,1
J151,151,1152,1
J152,152,1153,1
J153,153,1154,1
J154,154,1155,1
J155,155,1156,1
J156,156,1157,1
J157,157,1158,1
J158,158,1159,1
J159,159,1160,1
J160,160,1161,1
J161,161,1162,1
J162,162,1163,1
J163,163,1164,1
J164,164,1165,1
J165,165,1166,1
J166,166,1167,1
J167,167,1168,1
J168,168,1169,1
J169,169,1170,1
J170,170,1171,1
J171,171,1172,1
J172,172,1173,1
J173,173,1174,1
J174,174,1175,1
J175,175,1176,1
J176,176,1177,1
J177,177,1178,1
J178,178,1179,1
J179,179,1180,1
J180,180,1181,1
J181,181,1182,1
J182,182,1183,1
J183,183,1184,1
J184,184,1185,1
J185,185,1186,1
J186,186,1187,1
J187,187,1188,1
